AM HER, 2457491.364, 15.1, Vis.
AM HER, 2457484.524, 15.2, Vis.
AM HER, 2457481.59, 14.9, Vis.
AM HER, 2457481.4764, 15.2, Vis.
AM HER, 2457478.514, 15.1, Vis.
AM HER, 2457478.416, 15.0, Vis.
AM HER, 2457461.58, 15.2, Vis.
AM HER, 2457457.446, 15.1, Vis.
AM Her, 2457439.9667, 13.3, Vis.
AM HER, 2457438.8889, 13.5, Vis.
AM HER, 2457430.61, 13.0, Vis.
AM HER, 2457423.9590, 13.1, Vis.
AM HER, 2457405.70, 13.6, Vis.
AM HER, 2457385.1854, 13.4, Vis.
AM HER, 2457370.1799, 13.4, Vis.
AM HER, 2457364.1889, 13.4, Vis.
AM HER, 2457359.22, 13.4, Vis.
AM HER, 2457358.200, 13.5, Vis.
AM HER, 2457357.2236, 13.3, Vis.
AM HER, 2457351.313, 13.3, Vis.
AM HER, 2457345.319, 13.2, Vis.
AM HER, 2457345.24, 13.8, Vis.
AM HER, 2457343.313, 13.1, Vis.
AM HER, 2457343.24, 12.9, Vis.
AM HER, 2457343.21, 13.0, Vis.
AM HER, 2457342.4688, 13.2, Vis.
AM HER, 2457341.20, 13.6, Vis.
AM HER, 2457339.2826, 13.3, Vis.
AM HER, 2457339.25, 13.2, Vis.
AM HER, 2457339.21, 13.6, Vis.
AM HER, 2457338.431, 13.3, Vis.
AM HER, 2457338.342, 13.4, Vis.
AM HER, 2457337.22, 13.5, Vis.
AM HER, 2457337.200, 13.5, Vis.
AM HER, 2457336.4882, 13.5, Vis.
AM Her, 2457335.4764, 13.3, Vis.
AM HER, 2457335.431, 13.2, Vis.
AM HER, 2457335.26806, 13.2, Vis.
AM HER, 2457335.240, 13.4, Vis.
AM HER, 2457335.22, 13.4, Vis.
AM HER, 2457334.26806, 13.2, Vis.
AM HER, 2457333.26736, 13.2, Vis.
AM HER, 2457332.2639, 13.0, Vis.
AM Her, 2457331.4799, 13.3, Vis.
AM HER, 2457331.348, 13.3, Vis.
AM HER, 2457331.2611, 13.1, Vis.
AM Her, 2457330.4819, 13.5, Vis.
AM HER, 2457329.306, 13.3, Vis.
AM HER, 2457329.2882, 13.3, Vis.
AM HER, 2457328.5368, 13.2, Vis.
AM HER, 2457328.316, 13.3, Vis.
AM HER, 2457328.306, 13.4, Vis.
AM HER, 2457327.2778, 13.1, Vis.
AM Her, 2457326.4785, 13.3, Vis.
AM HER, 2457326.26944, 13.2, Vis.
AM HER, 2457321.5146, 13.1, Vis.
AM HER, 2457321.2688, 13.4, Vis.
AM HER, 2457320.269, 13.0, Vis.
AM Her, 2457319.4875, 13.2, Vis.
AM HER, 2457319.256, 13.4, Vis.
AM HER, 2457319.22, 13.1, Vis.
AM HER, 2457318.35, 13.5, Vis.
AM HER, 2457318.3056, 13.2, Vis.
AM HER, 2457318.294, 13.2, Vis.
AM HER, 2457318.29028, 13.2, Vis.
AM HER, 2457318.23, 13.1, Vis.
AM HER, 2457318.200, 13.0, Vis.
AM HER, 2457317.3042, 13.2, Vis.
AM HER, 2457316.3063, 13.2, Vis.
AM Her, 2457312.4979, 13.3, Vis.
AM HER, 2457312.28958, 13.2, Vis.
AM Her, 2457311.5007, 13.1, Vis.
AM HER, 2457311.29167, 13.2, Vis.
AM HER, 2457310.51389, 13.6, Vis.
AM Her, 2457308.4993, 13.3, Vis.
AM HER, 2457308.338, 13.3, Vis.
AM HER, 2457308.3264, 13.3, Vis.
AM HER, 2457307.54097, 13.6, Vis.
AM Her, 2457307.5111, 13.2, Vis.
AM HER, 2457306.5757, 13.2, Vis.
AM Her, 2457306.5028, 13.2, Vis.
AM HER, 2457305.26806, 13.2, Vis.
AM HER, 2457304.3326, 13.3, Vis.
AM HER, 2457304.29167, 13.2, Vis.
AM Her, 2457303.5000, 13.6, Vis.
AM HER, 2457303.3451, 13.3, Vis.
AM HER, 2457303.334, 13.3, Vis.
AM HER, 2457303.29167, 13.2, Vis.
AM Her, 2457301.5069, 13.6, Vis.
AM HER, 2457301.252, 13.4, Vis.
AM Her, 2457300.5021, 13.5, Vis.
AM HER, 2457299.24, 13.3, Vis.
AM HER, 2457298.3340, 13.2, Vis.
AM HER, 2457298.317, 13.0, Vis.
AM HER, 2457298.2958, 13.4, Vis.
AM HER, 2457298.28, 13.5, Vis.
AM HER, 2457298.27, 13.7, Vis.
AM HER, 2457298.229, 13.4, Vis.
AM HER, 2457297.5222, 13.6, Vis.
AM HER, 2457297.3389, 13.2, Vis.
AM HER, 2457297.30903, 13.3, Vis.
AM HER, 2457297.300, 13.5, Vis.
AM HER, 2457297.26, 13.4, Vis.
AM HER, 2457297.2486, 13.2, Vis.
AM HER, 2457297.226, 13.4, Vis.
AM HER, 2457296.3382, 13.3, Vis.
AM HER, 2457296.328, 13.3, Vis.
AM HER, 2457296.300, 13.5, Vis.
AM HER, 2457295.2229, 13.2, Vis.
AM HER, 2457292.36, 13.4, Vis.
AM HER, 2457292.341, 13.2, Vis.
AM HER, 2457291.344, 13.3, Vis.
AM Her, 2457289.5201, 13.4, Vis.
AM HER, 2457288.51597, 13.0, Vis.
AM HER, 2457288.358, 13.2, Vis.
AM HER, 2457287.35208, 13.2, Vis.
AM HER, 2457287.32, 13.3, Vis.
AM HER, 2457287.278, 13.3, Vis.
AM Her, 2457286.5854, 13.2, Vis.
AM HER, 2457286.35069, 13.2, Vis.
AM HER, 2457285.3611, 13.2, Vis.
AM HER, 2457285.34583, 13.2, Vis.
AM HER, 2457285.28, 13.4, Vis.
AM Her, 2457284.5201, 13.2, Vis.
AM HER, 2457284.3604, 13.2, Vis.
AM HER, 2457284.3458, 13.0, Vis.
AM HER, 2457283.38125, 13.2, Vis.
AM HER, 2457283.32, 13.4, Vis.
AM HER, 2457283.30, 13.2, Vis.
AM Her, 2457282.5299, 13.1, Vis.
AM HER, 2457282.300, 13.6, Vis.
AM Her, 2457281.5313, 13.2, Vis.
AM HER, 2457281.30, 13.3, Vis.
AM HER, 2457280.6299, 13.6, Vis.
AM Her, 2457280.5299, 13.2, Vis.
AM HER, 2457278.45, 13.4, Vis.
AM HER, 2457278.37, 13.2, Vis.
AM HER, 2457278.294, 13.1, Vis.
AM Her, 2457277.5278, 13.2, Vis.
AM HER, 2457277.34931, 13.2, Vis.
AM HER, 2457276.511, 13.2, Vis.
AM HER, 2457276.382, 13.4, Vis.
AM HER, 2457276.33958, 13.2, Vis.
AM HER, 2457275.30, 13.1, Vis.
AM HER, 2457275.276, 13.2, Vis.
AM HER, 2457274.3382, 13.3, Vis.
AM HER, 2457273.57431, 13.2, Vis.
AM Her, 2457273.5403, 13.2, Vis.
AM HER, 2457273.4215, 13.2, Vis.
AM HER, 2457273.372, 13.1, Vis.
AM HER, 2457273.331, 13.1, Vis.
AM HER, 2457273.300, 13.6, Vis.
AM HER, 2457273.30, 13.2, Vis.
AM HER, 2457273.29, 13.1, Vis.
AM Her, 2457272.5437, 13.1, Vis.
AM HER, 2457272.399, 13.2, Vis.
AM HER, 2457272.3771, 13.1, Vis.
AM HER, 2457272.32361, 12.9, Vis.
AM HER, 2457272.3062, 13.1, Vis.
AM Her, 2457271.5514, 13.2, Vis.
AM HER, 2457271.469, 13.2, Vis.
AM HER, 2457271.3854, 13.2, Vis.
AM Her, 2457270.5486, 13.1, Vis.
AM HER, 2457270.3799, 13.1, Vis.
AM HER, 2457268.3118, 13.1, Vis.
AM HER, 2457268.300, 13.4, Vis.
AM HER, 2457267.368, 12.9, Vis.
AM HER, 2457267.29792, 12.7, Vis.
AM HER, 2457267.267, 12.9, Vis.
AM HER, 2457261.405, 13.2, Vis.
AM HER, 2457261.32, 13.0, Vis.
AM HER, 2457261.317, 13.2, Vis.
AM HER, 2457259.37222, 13.2, Vis.
AM HER, 2457258.43, 13.0, Vis.
AM HER, 2457258.417, 12.8, Vis.
AM HER, 2457258.38, 12.8, Vis.
AM HER, 2457258.330, 12.8, Vis.
AM HER, 2457258.31, 13.2, Vis.
AM Her, 2457257.5868, 13.1, Vis.
AM HER, 2457255.4576, 13.0, Vis.
AM HER, 2457254.4139, 13.2, Vis.
AM HER, 2457253.4389, 13.2, Vis.
AM HER, 2457253.35903, 13.2, Vis.
AM HER, 2457251.3569, 13.1, Vis.
AM HER, 2457250.447, 13.2, Vis.
AM HER, 2457250.4340, 13.0, Vis.
AM HER, 2457249.3743, 13.2, Vis.
AM HER, 2457249.372, 13.3, Vis.
AM HER, 2457249.36, 13.0, Vis.
AM HER, 2457249.33, 13.0, Vis.
AM Her, 2457248.6146, 13.2, Vis.
AM HER, 2457248.36597, 13.2, Vis.
AM HER, 2457246.5299, 12.9, Vis.
AM HER, 2457246.38333, 13.2, Vis.
AM HER, 2457246.363, 13.2, Vis.
AM HER, 2457246.35, 13.0, Vis.
AM HER, 2457245.429, 13.2, Vis.
AM HER, 2457245.3785, 13.0, Vis.
AM Her, 2457244.5806, 13.1, Vis.
AM HER, 2457244.4861, 12.9, Vis.
AM HER, 2457244.4229, 13.2, Vis.
AM HER, 2457244.3819, 13.4, Vis.
AM HER, 2457244.37292, 13.2, Vis.
AM HER, 2457244.35, 13.2, Vis.
AM HER, 2457244.315, 13.2, Vis.
AM HER, 2457243.4688, 12.9, Vis.
AM HER, 2457243.45, 13.3, Vis.
AM HER, 2457243.423, 13.3, Vis.
AM HER, 2457243.4167, 13.2, Vis.
AM Her, 2457242.5938, 13.2, Vis.
AM HER, 2457242.3924, 12.9, Vis.
AM HER, 2457242.34, 13.3, Vis.
AM HER, 2457242.30, 13.5, Vis.
AM HER, 2457241.470, 13.4, Vis.
AM HER, 2457241.4194, 13.2, Vis.
AM HER, 2457241.3569, 12.9, Vis.
AM HER, 2457241.34, 13.2, Vis.
AM HER, 2457240.6826, 13.8, Vis.
AM Her, 2457240.5861, 13.1, Vis.
AM HER, 2457240.4285, 13.2, Vis.
AM HER, 2457240.38819, 13.2, Vis.
AM HER, 2457239.4104, 13.2, Vis.
AM HER, 2457239.37, 13.2, Vis.
AM HER, 2457238.535, 13.3, Vis.
AM HER, 2457237.4076, 13.2, Vis.
AM HER, 2457237.38333, 13.2, Vis.
AM HER, 2457236.4083, 13.2, Vis.
AM HER, 2457235.40, 12.9, Vis.
AM HER, 2457234.476, 13.2, Vis.
AM HER, 2457233.37917, 13.3, Vis.
AM HER, 2457230.38194, 13.3, Vis.
AM Her, 2457228.6188, 13.0, Vis.
AM HER, 2457226.5133, 12.8, Vis.
AM HER, 2457226.44, 13.4, Vis.
AM HER, 2457226.4194, 13.2, Vis.
AM HER, 2457226.38472, 13.3, Vis.
AM HER, 2457226.345, 13.1, Vis.
AM HER, 2457225.4424, 13.0, Vis.
AM HER, 2457225.359, 13.0, Vis.
AM HER, 2457225.30, 13.2, Vis.
AM HER, 2457224.5076, 13.0, Vis.
AM HER, 2457224.372, 13.0, Vis.
AM HER, 2457224.355, 13.2, Vis.
AM HER, 2457223.460, 13.3, Vis.
AM HER, 2457221.476, 13.2, Vis.
AM HER, 2457221.4271, 13.2, Vis.
AM HER, 2457220.4257, 13.2, Vis.
AM HER, 2457219.7208, 13.1, Vis.
AM HER, 2457219.460, 13.2, Vis.
AM HER, 2457219.4292, 13.2, Vis.
AM HER, 2457219.35, 13.0, Vis.
AM HER, 2457219.344, 13.2, Vis.
AM HER, 2457218.4368, 13.2, Vis.
AM HER, 2457217.4354, 13.2, Vis.
AM HER, 2457216.434, 13.0, Vis.
AM HER, 2457216.40347, 13.3, Vis.
AM HER, 2457216.36, 13.2, Vis.
AM HER, 2457215.4389, 13.2, Vis.
AM HER, 2457215.38, 13.4, Vis.
AM HER, 2457214.72222, 13.3, Vis.
AM HER, 2457214.4382, 13.0, Vis.
AM HER, 2457214.377, 12.9, Vis.
AM HER, 2457213.507, 13.2, Vis.
AM HER, 2457213.443, 13.2, Vis.
AM HER, 2457213.4382, 13.3, Vis.
AM HER, 2457213.40139, 13.2, Vis.
AM HER, 2457213.38, 13.1, Vis.
AM HER, 2457212.5482, 13.1, Vis.
AM HER, 2457212.479, 13.3, Vis.
AM HER, 2457212.4368, 13.3, Vis.
AM HER, 2457212.40000, 13.2, Vis.
AM HER, 2457211.38750, 13.2, Vis.
AM HER, 2457211.35, 13.3, Vis.
AM HER, 2457211.342, 13.2, Vis.
AM HER, 2457210.30, 13.6, Vis.
AM HER, 2457209.469, 13.4, Vis.
AM HER, 2457209.4271, 13.3, Vis.
AM HER, 2457209.38, 12.9, Vis.
AM HER, 2457209.349, 13.0, Vis.
AM HER, 2457208.36, 12.9, Vis.
AM HER, 2457207.336, 13.5, Vis.
AM HER, 2457206.468, 13.3, Vis.
AM HER, 2457202.508, 13.2, Vis.
AM HER, 2457200.344, 13.3, Vis.
AM HER, 2457199.7958, 13.6, Vis.
AM Her, 2457198.6417, 13.3, Vis.
AM HER, 2457198.40764, 13.2, Vis.
AM HER, 2457197.6194, 12.9, Vis.
AM HER, 2457197.490, 13.2, Vis.
AM HER, 2457195.517, 13.3, Vis.
AM HER, 2457195.4986, 13.0, Vis.
AM HER, 2457195.4826, 13.3, Vis.
AM HER, 2457195.40694, 13.2, Vis.
AM HER, 2457195.39, 13.3, Vis.
AM HER, 2457195.36, 13.3, Vis.
AM HER, 2457194.515, 13.4, Vis.
